rowid	mod-7	mod-12	mod-13	mod-14	mod-23	mod-109	mod-110	mod-111	mod-114	mod-127	mod-128	mod-131	CD34	CD68	CNP	GFAP	MBP	OLIG2	PC1
projid11413170	0.022233	-0.000287	0.004633	0.016805	0.010288	-0.008772	-0.060998	-0.023893	0.002416	0.006217	0.017430	-0.006945	-0.090538	-0.027084	-0.066585	0.035089	-0.003149	-0.072849	-0.013781
projid11430815	0.037713	-0.047477	-0.037399	-0.007703	-0.016649	0.059411	0.042257	0.038001	0.016447	-0.022543	-0.023677	-0.003265	0.007676	-0.011861	0.029405	-0.002479	0.003584	0.038055	0.021441
projid11440263	-0.042418	0.001412	0.014794	0.047638	0.018691	-0.033968	-0.079615	-0.041727	-0.006834	0.015317	-0.030451	0.041002	0.035281	0.031230	-0.086679	0.057784	-0.126127	-0.038839	-0.021506
projid11444465	-0.065335	-0.014843	0.024904	-0.042949	0.040994	-0.031745	0.012925	0.031077	-0.052609	0.078824	0.029017	0.043037	0.001953	0.008241	0.002683	-0.009783	-0.008585	0.000109	0.002592
projid11453772	-0.101089	-0.046309	0.020537	-0.033969	0.032796	-0.001701	0.029810	0.089141	-0.059556	0.103407	0.034912	0.054891	0.047500	-0.032810	0.035120	-0.049793	-0.010142	0.001002	0.038467
projid11455530	0.042538	-0.061983	-0.063673	-0.055629	-0.080083	0.061598	0.006487	0.027686	0.085912	-0.076780	-0.068061	-0.073066	0.072632	0.051122	0.003547	0.085299	-0.054312	-0.007208	0.056680
projid11460357	-0.044460	-0.044216	-0.066416	-0.075176	0.056376	0.011137	-0.028598	0.058187	0.019918	0.031757	0.058823	0.047636	-0.012532	0.055457	-0.048904	0.027183	-0.060608	-0.027823	0.032052
projid11464261	-0.001526	0.041715	0.028786	0.016196	0.050653	-0.006685	-0.053501	-0.023272	-0.028452	0.019640	0.087543	0.037139	-0.017976	0.018629	-0.047271	-0.058130	-0.019255	-0.009345	-0.017440
projid11466579	0.040837	0.035854	0.016035	-0.009363	0.002450	-0.006176	0.009412	-0.014064	-0.017733	0.012380	0.049579	0.002903	-0.002130	0.009644	0.034736	-0.018096	-0.041155	0.026637	-0.010086
projid11467746	-0.021954	-0.017847	0.017573	0.011746	0.006282	-0.029021	-0.009327	-0.006517	-0.032106	0.032271	-0.064811	0.019061	-0.037072	0.020612	-0.009144	-0.004167	0.026358	-0.035121	-0.009032
projid11469504	0.011656	0.006602	-0.007607	0.010945	0.018814	0.013428	-0.037225	-0.003275	0.002196	-0.005505	0.007303	0.005046	-0.033973	0.012806	-0.051980	-0.043545	-0.039020	-0.016996	-0.019344
projid11471260	-0.107606	0.113734	0.140583	0.156547	0.128288	-0.152126	-0.030458	-0.073258	-0.147467	0.154231	0.104437	0.158439	-0.058328	-0.054639	-0.018968	-0.058719	0.141226	-0.026386	-0.115427
projid11606935	-0.035037	0.020515	0.037146	0.012409	0.016378	-0.019981	0.031513	0.000814	-0.036671	0.033798	0.033448	0.023403	-0.000001	-0.029608	0.033565	-0.041452	0.177910	0.016721	-0.012565
projid11615242	-0.033381	0.015595	0.010029	-0.012043	0.050310	-0.017249	-0.011668	0.008967	-0.034436	0.045563	0.070382	0.039920	-0.020418	-0.019529	0.005321	-0.021202	-0.033522	-0.020522	-0.005808
projid11616707	0.062113	-0.006200	-0.005577	0.007309	-0.041461	0.028479	0.012963	-0.018671	0.025151	-0.048278	-0.034346	-0.042567	0.039353	-0.027148	0.011120	0.033998	-0.022708	0.010555	0.003108
projid11619606	-0.005943	-0.056554	-0.035471	-0.023932	-0.074565	0.043757	0.087107	0.052307	0.054183	-0.031377	-0.057038	-0.059015	0.052058	0.031508	0.062513	0.072862	0.074152	0.054897	0.062958
projid11624423	-0.009088	-0.009252	-0.016544	0.014173	0.007034	0.001484	-0.025743	-0.023942	0.010345	-0.021539	-0.030026	0.009159	-0.017383	0.047021	-0.050782	-0.021003	-0.008248	-0.018783	-0.014836
projid11631558	-0.031880	0.000344	0.042414	0.006790	-0.004923	-0.017285	0.031729	0.007336	-0.028062	0.045883	0.039514	0.015920	0.051340	0.058563	0.069336	-0.001798	0.005427	0.056714	0.031265
projid11632851	0.023148	0.021103	-0.008469	0.024456	0.010452	-0.013523	0.006522	-0.038182	0.006611	-0.027383	-0.007896	-0.015773	-0.040121	-0.020693	0.015666	0.026566	0.006544	0.039968	-0.018726
